지역,교환,택배서비스,환불
전체,64.2,24.9,57.5
서울,64.2,53.8,55.6
부산,55.8,11.8,42.3
대구,68.8,42.9,67.4
인천,62.9,23.8,59.5
광주,99.1,24.9,99
대전,66.9,6.5,61.7
울산,51.5,18.3,40.4
세종,53.1,28.1,50.9
경기,66.1,18.9,59.1
강원,62.7,35.7,57.3
충북,54.6,8.5,54.6
충남,71,12.2,71.5
전북,88.2,5.6,86
전남,90.1,18.8,88.9
경북,55.6,7,47.7
경남,53,11,44.8
제주,69.3,29.2,61.7
