지역,신용카드단말기,POS 기기,인터넷쇼핑몰,온누리상품권,점포홈페이지
전체,85.4,11.7,3.6,77.9,3.8
서울,97.6,16.4,12.7,83.3,15.1
부산,79,3.6,1.8,78.4,0.1
대구,81.8,3,1.6,92.4,0.8
인천,95.3,9.5,1.1,48.4,1.5
광주,76.7,3.9,0.4,73.6,1
대전,97.6,13.4,1.3,76.7,2.4
울산,65.2,9.7,0.5,86.9,0.3
세종,96.6,45.4,2,58.7,6
경기,95.4,25.6,2.1,73.1,3.5
강원,91.8,6.4,2.7,71.7,2.1
충북,98.4,11.2,1.3,93.6,0.3
충남,98,44.1,0.3,97.1,0.4
전북,84.2,8.2,0.2,68.7,0
전남,77.8,4.2,1.3,56.4,0.5
경북,67.1,9.5,0.8,71.7,0.4
경남,71.5,3.1,0.9,81,0.2
제주,62,1.9,1.8,97.2,1.1
